Imge,Selling_Price,Compny,RAM_GB,RAM_Type,Screen_Size_Inch,Windows,Series,MS_Office,Original_Price,Discount_Percent,Processor,Processor_Tier,Generation,Storage_GB,Storage_Type
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/e/d/-original-imahg5fx6vyugqzh.jpeg?q=70,71990,Samsung,16,DDR5,15,11,Galaxy,False,99990,28,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/1/8/-original-imahmd8nvrtardw6.jpeg?q=70,46990,DELL,16,DDR4,15,11,Series_15,True,54479,13,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/1/o/-original-imahfwz9j5sghtkz.jpeg?q=70,70990,DELL,16,DDR5,14,11,Inspiron,True,85574,17,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/0/5/-original-imagvrefuybuvbe5.jpeg?q=70,62790,DELL,16,DDR4,15,11,Series_15,True,74829,16,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/2/0/db04250-2-in-1-laptop-dell-original-imahffy8ysvnk5ga.jpeg?q=70,46990,HP,8,DDR4,15,11,250R,False,66990,29,Intel,Core_3,14,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/v/s/16-am0277tx-gaming-laptop-hp-original-imahf598m34rd2zj.jpeg?q=70,54990,DELL,8,DDR4,15,11,Inspiron,True,63416,13,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/o/g/-original-imahfwz9pgnejufa.jpeg?q=70,69990,DELL,8,DDR5,14,11,Series_15,False,7551,47,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/9/6/-original-imahgx8wp3ahhucy.jpeg?q=70,48990,HP,8,DDR4,15,11,Intel,False,61990,20,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/i/s/-original-imahgfdf4tyzdg5x.jpeg?q=70,47573,ASUS,4,DDR4,15,11,Chromebook,False,61858,41,Intel,Ultra,12,384,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/o/d/-original-imahg5fxrynh3hnw.jpeg?q=70,69990,DELL,16,DDR4,15,11,Inspiron,True,7391,15,Intel,i7,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/b/u/-original-imahfr9jgjzwgkcn.jpeg?q=70,71990,Samsung,16,DDR5,15,11,Galaxy,False,92390,22,Snapdragon,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/2/s/-original-imah2ger8qjev3sj.jpeg?q=70,72490,DELL,8,DDR5,14,11,Series_15,False,7886,8,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/3/3/15-g10-thin-and-light-laptop-hp-original-imah9z2bfz8x4ysf.jpeg?q=70,99990,DELL,16,DDR5,15,11,Series_14,True,111258,10,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/n/q/-original-imahgwkqrdsdqfqz.jpeg?q=70,51990,Acer,16,DDR4,14,11,Aspire,False,66999,22,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/q/y/-original-imahk44qgcfybyjf.jpeg?q=70,52490,HP,8,DDR4,15,11,Pavilion,False,62990,16,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/d/h/-original-imahkrdfczexundv.jpeg?q=70,83490,DELL,16,DDR5,14,11,Series_14,True,107083,22,AMD,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/l/v/s/16-am0277tx-gaming-laptop-hp-original-imahf598m34rd2zj.jpeg?q=90,72490,DELL,16,DDR5,14,11,Series_14,True,92833,21,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/e/8/9/-original-imahgx8w63f8shx4.jpeg?q=90,86500,HP,16,DDR4,15,11,Victus,False,9499,8,Intel,i5,13,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=90,76990,DELL,16,DDR5,14,11,Series_14,True,98040,21,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/a/e/w/-original-imahg5fuexxbwgvv.jpeg?q=90,128990,DELL,16,DDR5,15,11,Alienware,True,151875,15,Intel,Core_7,12,512,SSD
https://rukminim2.flixcart.com/image/300/300/xif0q/computer/b/k/d/-original-imahb2kbf2zdan3z.jpeg?q=90,44990,HP,8,DDR5,15,11,AMD,False,53413,15,AMD,Ryzen_5,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/i/b/-original-imahgx8ws7ypyhmd.jpeg?q=70,45200,HP,8,DDR4,15,11,Series_15,False,60990,25,AMD,Ryzen_3,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/7/-original-imahg5fvu6dzuxgf.jpeg?q=70,139890,Lenovo,32,DDR5,14,11,IdeaPad,False,167890,16,Intel,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/d/z/250r-g10-thin-and-light-laptop-hp-original-imahg6xhcuu9xmuj.jpeg?q=70,26990,Lenovo,4,DDR5,14,11,Chromebook,False,36690,26,Intel,Ultra,12,384,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/b/y/-original-imahbpzxs7jyyvnh.jpeg?q=70,105000,Lenovo,16,DDR5,14,11,IdeaPad,False,125890,16,Snapdragon,Ultra,12,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/e/w/-original-imahg5fuexxbwgvv.jpeg?q=70,46990,DELL,16,DDR4,15,11,Series_15,True,54479,13,Intel,i3,13,512,SSD
https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/w/5/-original-imahmp2zyeagkgze.jpeg?q=70,70990,DELL,16,DDR5,14,11,Inspiron,True,85574,17,Intel,i5,13,512,SSD
